id,nombre científico,nombre común,rango,zonas USDA
"parapiptadenia_rigida","Parapiptadenia rigida","Angico, Anico","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"parasenegalia_visco","Parasenegalia visco","Visco, Viscote","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"parkinsonia_aculeata","Parkinsonia aculeata","Cina, cina","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"patagonula_americana","Patagonula americana","Guayaibí","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"paulownia_tomentosa","Paulownia tomentosa","Kiri, Paulownia","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"peltophorum_dubium","Peltophorum dubium","Ibirá pitá, Cañafístula","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"peltophorum_sp","Peltophorum sp.","Ibirá pitá","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"pereskia_bahiensis","Pereskia bahiensis","Pereskia, Cacto de hojas","-1.1°C a 1.7°C","10a, 10b"
"persea_americana","Persea americana","Palto, Aguacate","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"phoenix_canariensis","Phoenix canariensis","Palmera canaria","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
